Frame,ObjectID,ClassID,Score,CenterX,CenterY,Width,Height
1,,2,0.9900981,571,891,133,178
1,,2,0.9862117,437,742,122,118
1,,2,0.9771484,1750,635,159,64
1,,2,0.97134787,761,648,69,87
1,,2,0.94680613,1018,647,93,74
1,,2,0.92407423,928,533,61,52
1,,2,0.9240241,856,565,61,69
1,,2,0.876552,612,473,40,32
1,,2,0.85529435,881,473,39,32
1,,2,0.82219774,1336,980,245,198
1,,2,0.81933063,753,463,36,37
1,,2,0.8115217,1118,436,37,25
1,,2,0.74883235,942,458,37,29
1,,2,0.74808556,1877,605,85,90
1,,2,0.7368728,642,435,29,25
1,,2,0.7155792,688,450,33,35
1,,2,0.68976575,1268,433,51,40
1,,2,0.6305577,1424,466,70,32
1,0,,,571,891,,
1,1,,,437,742,,
1,2,,,1750,635,,
1,3,,,761,648,,
1,4,,,1018,647,,
1,5,,,928,533,,
1,6,,,856,565,,
1,7,,,612,473,,
1,8,,,881,473,,
1,9,,,1336,980,,
1,10,,,753,463,,
1,11,,,1118,436,,
1,12,,,942,458,,
1,13,,,1877,605,,
1,14,,,642,435,,
1,15,,,688,450,,
1,16,,,1268,433,,
1,17,,,1424,466,,
2,,2,0.99081546,567,905,140,190
2,,2,0.98580384,434,750,123,136
2,,2,0.96207553,1724,626,152,60
2,,2,0.9558036,930,534,59,55
2,,2,0.9416587,857,567,65,70
2,,2,0.941496,1019,650,91,74
2,,2,0.92048806,761,655,68,90
2,,2,0.8579397,612,474,41,34
2,,2,0.822646,881,473,39,32
2,,2,0.80576575,753,463,35,37
2,,2,0.80091935,1867,590,106,71
2,,2,0.7780852,641,436,29,25
2,,2,0.76744664,687,451,34,35
2,,2,0.7440616,943,459,37,29
2,,2,0.69654024,1347,984,255,189
2,,2,0.631948,1114,435,38,25
2,,2,0.6120626,1417,465,70,32
2,0,,,567,905,,
2,1,,,434,750,,
2,2,,,1724,626,,
2,3,,,761,655,,
2,4,,,1019,650,,
2,5,,,930,534,,
2,6,,,857,567,,
2,7,,,612,474,,
2,8,,,881,473,,
2,9,,,1347,984,,
2,10,,,753,463,,
2,11,,,1114,435,,
2,12,,,943,459,,
2,13,,,1867,590,,
2,14,,,641,436,,
2,15,,,687,451,,
2,16,,,1268,433,,
2,17,,,1417,465,,
3,,2,0.98417044,564,920,143,197
3,,2,0.9776216,1701,618,145,61
3,,2,0.9560188,762,659,69,87
3,,2,0.9498796,427,756,127,129
3,,2,0.9468085,1021,651,94,74
3,,2,0.9340208,930,536,61,53
3,,2,0.8628975,858,571,64,69
3,,2,0.8313862,612,475,40,35
3,,2,0.8257437,753,465,37,37
3,,2,0.82336223,1365,989,269,178
3,,2,0.8074154,1857,585,125,70
3,,2,0.7753957,882,475,39,32
3,,2,0.76359195,641,437,30,24
3,,2,0.7386805,946,461,36,31
3,,2,0.7016097,688,452,33,34
3,,2,0.6344395,1260,430,50,38
3,0,,,564,920,,
3,1,,,427,756,,
3,2,,,1701,618,,
3,3,,,762,659,,
3,4,,,1021,651,,
3,5,,,930,536,,
3,6,,,858,571,,
3,7,,,612,475,,
3,8,,,882,475,,
3,9,,,1365,989,,
3,10,,,753,465,,
3,11,,,1114,435,,
3,12,,,946,461,,
3,13,,,1857,585,,
3,14,,,641,437,,
3,15,,,688,452,,
3,16,,,1260,430,,
3,17,,,1417,465,,
4,,2,0.988894,560,934,144,204
4,,2,0.9796986,861,574,66,74
4,,2,0.9693575,424,763,130,128
4,,2,0.9690223,763,665,73,90
4,,2,0.9513697,931,537,60,52
4,,2,0.93784475,1678,609,138,56
4,,2,0.89148676,1848,578,144,64
4,,2,0.8767116,1371,993,265,169
4,,2,0.85557586,753,465,37,36
4,,2,0.84581083,611,475,40,38
4,,2,0.8228163,1026,656,94,77
4,,2,0.8087343,687,452,34,35
4,,2,0.7902836,948,464,37,30
4,,2,0.76897085,641,438,30,24
4,,2,0.73630005,882,475,40,33
4,,2,0.6685855,1403,460,62,31
4,,2,0.6682979,1256,430,48,35
4,,2,0.5301206,1104,430,41,28
4,0,,,560,934,,
4,1,,,424,763,,
4,2,,,1678,609,,
4,3,,,763,665,,
4,4,,,1026,656,,
4,5,,,931,537,,
4,6,,,861,574,,
4,7,,,611,475,,
4,8,,,882,475,,
4,9,,,1371,993,,
4,10,,,753,465,,
4,11,,,1104,430,,
4,12,,,948,464,,
4,13,,,1848,578,,
4,14,,,641,438,,
4,15,,,687,452,,
4,16,,,1256,430,,
4,17,,,1403,460,,
5,,2,0.9866854,863,580,70,72
5,,2,0.9823772,552,963,146,221
5,,2,0.9767336,413,779,135,137
5,,2,0.9751689,1029,662,94,80
5,,2,0.96141005,763,675,76,90
5,,2,0.9283557,1635,595,129,53
5,,2,0.8736905,610,479,42,36
5,,2,0.85878706,1821,566,167,61
5,,2,0.8511774,932,538,61,55
5,,2,0.81046206,954,467,39,30
5,,2,0.8028766,687,456,34,35
5,,2,0.77699804,885,477,38,33
5,,2,0.74190146,754,467,38,35
5,,2,0.69620574,1890,619,59,76
5,,2,0.6489555,1246,429,44,34
5,,2,0.60671574,1390,1003,278,153
5,,2,0.60065025,640,438,31,29
5,,2,0.5351355,1390,457,62,32
5,,2,0.51438844,1098,428,34,24
5,0,,,552,963,,
5,1,,,413,779,,
5,2,,,1678,609,,
5,3,,,763,675,,
5,4,,,1029,662,,
5,5,,,932,538,,
5,6,,,863,580,,
5,7,,,610,479,,
5,8,,,885,477,,
5,9,,,1390,1003,,
5,10,,,754,467,,
5,11,,,1098,428,,
5,12,,,954,467,,
5,13,,,1821,566,,
5,14,,,640,438,,
5,15,,,687,456,,
5,16,,,1246,429,,
5,17,,,1390,457,,
5,18,,,1635,595,,
5,19,,,1890,619,,
6,,2,0.99114287,864,582,70,76
6,,2,0.9901715,546,974,151,210
6,,2,0.98372656,409,786,137,138
6,,2,0.9742004,1032,665,96,79
6,,2,0.96207553,764,680,77,94
6,,2,0.9200101,1613,587,124,53
6,,2,0.90155226,936,542,59,50
6,,2,0.8196815,687,457,34,35
6,,2,0.8194504,1799,562,156,60
6,,2,0.7821409,885,477,39,34
6,,2,0.7625363,754,470,36,33
6,,2,0.75861174,956,470,40,29
6,,2,0.747305,1877,620,86,73
6,,2,0.6853658,797,442,31,23
6,,2,0.6662902,1392,1009,252,138
6,,2,0.64643,609,480,44,37
6,,2,0.6168178,1242,427,45,32
6,,2,0.60630065,639,441,31,27
6,,2,0.6038245,846,429,34,25
6,,2,0.5476535,1384,456,61,30
6,,2,0.52861285,743,417,28,19
6,0,,,546,974,,
6,1,,,409,786,,
6,2,,,1678,609,,
6,3,,,764,680,,
6,4,,,1032,665,,
6,5,,,936,542,,
6,6,,,864,582,,
6,7,,,609,480,,
6,8,,,885,477,,
6,9,,,1392,1009,,
6,10,,,754,470,,
6,11,,,1098,428,,
6,12,,,956,470,,
6,13,,,1799,562,,
6,14,,,639,441,,
6,15,,,687,457,,
6,16,,,1242,427,,
6,17,,,1384,456,,
6,18,,,1613,587,,
6,19,,,1877,620,,
6,20,,,797,442,,
6,21,,,846,429,,
6,22,,,743,417,,
7,,2,0.9916996,544,980,154,199
7,,2,0.98100543,865,584,72,77
7,,2,0.96049434,406,794,140,141
7,,2,0.94448435,765,687,80,94
7,,2,0.9419659,937,543,59,49
7,,2,0.8820231,1596,581,119,51
7,,2,0.867709,885,478,41,36
7,,2,0.8498981,1033,668,102,77
7,,2,0.8277403,1782,556,155,59
7,,2,0.81068283,755,470,36,35
7,,2,0.8003452,957,471,40,30
7,,2,0.7966192,687,457,34,35
7,,2,0.7427182,639,442,31,27
7,,2,0.72613657,797,442,32,23
7,,2,0.6620346,1864,617,111,80
7,,2,0.60454756,846,429,33,26
7,,2,0.565631,1443,1015,342,130
7,,2,0.5375701,743,417,27,19
7,,2,0.53568023,608,481,42,37
7,0,,,544,980,,
7,1,,,406,794,,
7,2,,,1678,609,,
7,3,,,765,687,,
7,4,,,1033,668,,
7,5,,,937,543,,
7,6,,,865,584,,
7,7,,,608,481,,
7,8,,,885,478,,
7,9,,,1392,1009,,
7,10,,,755,470,,
7,11,,,1098,428,,
7,12,,,957,471,,
7,13,,,1782,556,,
7,14,,,639,442,,
7,15,,,687,457,,
7,16,,,1242,427,,
7,17,,,1384,456,,
7,18,,,1596,581,,
7,19,,,1864,617,,
7,20,,,797,442,,
7,21,,,846,429,,
7,22,,,743,417,,
7,23,,,1443,1015,,
8,,2,0.99195087,540,985,165,189
8,,2,0.9810134,1037,670,104,78
8,,2,0.976929,870,587,73,80
8,,2,0.9761776,397,803,143,146
8,,2,0.9471026,1576,575,117,51
8,,2,0.94066066,937,544,60,52
8,,2,0.9141315,886,479,40,35
8,,2,0.9097649,766,695,80,96
8,,2,0.8720296,1763,550,144,54
8,,2,0.8410704,755,471,36,34
8,,2,0.8282378,638,443,31,27
8,,2,0.8262102,687,458,34,36
8,,2,0.7933231,961,472,39,31
8,,2,0.77840453,607,484,42,33
8,,2,0.70260257,797,442,33,26
8,,2,0.66063976,1851,609,137,75
8,,2,0.51615685,847,428,34,27
8,0,,,540,985,,
8,1,,,397,803,,
8,2,,,1678,609,,
8,3,,,766,695,,
8,4,,,1037,670,,
8,5,,,937,544,,
8,6,,,870,587,,
8,7,,,607,484,,
8,8,,,886,479,,
8,9,,,1392,1009,,
8,10,,,755,471,,
8,11,,,1098,428,,
8,12,,,961,472,,
8,13,,,1763,550,,
8,14,,,638,443,,
8,15,,,687,458,,
8,16,,,1242,427,,
8,17,,,1384,456,,
8,18,,,1576,575,,
8,19,,,1851,609,,
8,20,,,797,442,,
8,21,,,847,428,,
8,22,,,743,417,,
8,23,,,1443,1015,,
9,,2,0.9883394,534,999,165,159
9,,2,0.9748365,388,821,149,152
